group,names,scores,logfoldchanges,pvals,pvals_adj
4,ENSG00000131471,-8.696086,-4.8465247,3.435285387860951e-18,2.3610208851278015e-17
4,ENSG00000023287,-8.701064,-0.5714866,3.2878708355335437e-18,2.263594379024815e-17
4,ENSG00000133574,-8.74101,-4.9964623,2.310367580732825e-18,1.5933569522295343e-17
4,ENSG00000108622,-8.766747,-5.864461,1.839010898193577e-18,1.2704738502200879e-17
4,ENSG00000100364,-8.767734,-1.5176635,1.8229801949913673e-18,1.261577989613403e-17
4,ENSG00000100519,-8.7736435,-0.27154347,1.7297565448453988e-18,1.1991379860280062e-17
4,ENSG00000169692,-8.778523,-0.5581527,1.6563475510365108e-18,1.1502413548864659e-17
4,ENSG00000185745,-8.782314,-2.9708583,1.6014472573434646e-18,1.1140502659780624e-17
4,ENSG00000110799,-8.784327,-4.682942,1.5730361803888259e-18,1.0961924602012725e-17
4,ENSG00000164116,-8.788834,-6.320195,1.5112013590563625e-18,1.0549398667060123e-17
4,ENSG00000111596,-8.802328,-0.8296084,1.3400726353353145e-18,9.371137310037165e-18
4,ENSG00000170542,-8.809134,-5.2951436,1.261171124146988e-18,8.83482398701918e-18
4,ENSG00000242574,-8.822025,-4.483482,1.1240824692674158e-18,7.888298029946779e-18
4,ENSG00000108551,-8.822457,-0.9688168,1.1197489544415623e-18,7.883289056188485e-18
4,ENSG00000183160,-8.837534,-5.3296137,9.785430865322472e-19,6.9033021977583585e-18
4,ENSG00000267107,-8.838783,-4.243742,9.676642644575967e-19,6.8386167099476805e-18
4,ENSG00000177565,-8.839192,-1.0045557,9.641276861590846e-19,6.825682733869626e-18
4,ENSG00000137959,-8.84223,-4.04742,9.38270318030178e-19,6.654399418653746e-18
4,ENSG00000004700,-8.852032,-1.1879897,8.594052713382608e-19,6.105898908264731e-18
4,ENSG00000109519,-8.8530035,-0.35994765,8.51948986858249e-19,6.063693856642341e-18
4,ENSG00000079246,-8.854115,-0.27526587,8.435100871646916e-19,6.014332172297266e-18
4,ENSG00000162614,-8.856784,-3.300653,8.235603732348067e-19,5.882574094534333e-18
4,ENSG00000121858,-8.865695,-0.8503976,7.602825683917663e-19,5.440304603876681e-18
4,ENSG00000125730,-8.929987,-4.8321953,4.2605748867625043e-19,3.054175546066311e-18
4,ENSG00000167775,-8.937217,-1.5685886,3.9909601731011085e-19,2.8660396216165946e-18
4,ENSG00000224877,-8.950027,-0.5127537,3.5539241305791405e-19,2.5613867607777586e-18
4,ENSG00000111799,-8.961138,-2.7267144,3.21344697079245e-19,2.3201783182616965e-18
4,ENSG00000121966,-8.965892,-3.0123327,3.0778023410419437e-19,2.2262584745330513e-18
4,ENSG00000049323,-8.989099,-1.9543281,2.4926689071580876e-19,1.8062818167812228e-18
4,ENSG00000168807,-9.003071,-1.7639929,2.1949132412918493e-19,1.5934034419541555e-18
4,ENSG00000131055,-9.015935,-5.461693,1.9519857598566736e-19,1.4196260071684897e-18
4,ENSG00000157601,-9.044236,-2.3539162,1.5071505407551173e-19,1.0981060406230363e-18
4,ENSG00000164172,-9.065233,-1.1878111,1.2433828429869715e-19,9.075787175087382e-19
4,ENSG00000166347,-9.081487,-0.06292757,1.0710184506573577e-19,7.831944794569343e-19
4,ENSG00000107798,-9.119082,-1.2422823,7.576294469308987e-20,5.550398878614642e-19
4,ENSG00000113387,-9.1192665,-0.21015362,7.56344535649556e-20,5.550398878614642e-19
4,ENSG00000129657,-9.139443,-1.9166603,6.277443749605572e-20,4.6157674629452735e-19
4,ENSG00000186340,-9.142262,-1.5747864,6.115926335040762e-20,4.505286434652494e-19
4,ENSG00000134049,-9.169593,-0.46166158,4.748106149928595e-20,3.504137380021103e-19
4,ENSG00000176485,-9.222394,-1.3936067,2.9054031105146236e-20,2.1521504522330545e-19
4,ENSG00000128534,-9.227823,-0.4386067,2.761867999517507e-20,2.0496237473228254e-19
4,ENSG00000241685,-9.248571,-0.4491502,2.2751238582994412e-20,1.691541902081369e-19
4,ENSG00000060762,-9.261028,-0.43509325,2.024729319536614e-20,1.5081782640868633e-19
4,ENSG00000169508,-9.277939,-3.793415,1.7278912967422507e-20,1.2894711169718287e-19
4,ENSG00000136160,-9.283866,-4.0991683,1.634389523526383e-20,1.2219734755337442e-19
4,ENSG00000090238,-9.309001,-1.1692792,1.2903980004347123e-20,9.665902624979118e-20
4,ENSG00000151247,-9.316459,-0.34246352,1.2028848430449571e-20,9.027278371819565e-20
4,ENSG00000164104,-9.323011,-0.16788247,1.1308399108252972e-20,8.502555720490956e-20
4,ENSG00000170310,-9.335261,-0.8390826,1.0074203834854916e-20,7.588854112885059e-20
4,ENSG00000162618,-9.338235,-5.860909,9.795303880840959e-21,7.392682174219591e-20
4,ENSG00000125818,-9.349947,-0.5536067,8.769134043141101e-21,6.630725174397808e-20
4,ENSG00000187513,-9.351345,-4.4676757,8.654024581414228e-21,6.556079228344112e-20
4,ENSG00000119917,-9.369489,-3.3341084,7.288462843145567e-21,5.532040108649386e-20
4,ENSG00000198604,-9.378881,-0.36270434,6.6676356274797364e-21,5.070445344091054e-20
4,ENSG00000126005,-9.417238,-0.7769942,4.631103957745204e-21,3.52846015828206e-20
4,ENSG00000112149,-9.419846,-2.0425103,4.517515109891691e-21,3.448484816711214e-20
4,ENSG00000162604,-9.421117,-0.654087,4.463147415912366e-21,3.4134970676194005e-20
4,ENSG00000165264,-9.42441,-0.26776308,4.325318097620946e-21,3.31441999817697e-20
4,ENSG00000134717,-9.427958,-0.4738761,4.1815364031055204e-21,3.210392631942818e-20
4,ENSG00000148053,-9.432474,-1.073108,4.005264611532489e-21,3.0809727781019144e-20
4,ENSG00000136770,-9.433526,-0.83898854,3.965285194304629e-21,3.0560964888667664e-20
4,ENSG00000142910,-9.434126,-1.5234874,3.942665395833638e-21,3.044529263191999e-20
4,ENSG00000168497,-9.436255,-4.703926,3.863391070175289e-21,2.98908400013562e-20
4,ENSG00000090520,-9.438539,-0.46612862,3.780151521699996e-21,2.930350016821703e-20
4,ENSG00000162692,-9.441367,-3.2870388,3.679473175693981e-21,2.857843243257461e-20
4,ENSG00000149231,-9.447863,-1.0439037,3.458188659355885e-21,2.691197400276953e-20
4,ENSG00000182240,-9.465173,-2.1054506,2.9307681534487532e-21,2.285199339921055e-20
4,ENSG00000118292,-9.4895315,-3.980406,2.3207428714110446e-21,1.8130803682898785e-20
4,ENSG00000214046,-9.5220375,-0.6681477,1.69815840100458e-21,1.329282505678732e-20
4,ENSG00000130558,-9.534065,-3.0941253,1.5124223553925927e-21,1.1862136120726217e-20
4,ENSG00000114315,-9.53983,-0.37778813,1.4306606861044314e-21,1.1242913053865865e-20
4,ENSG00000092203,-9.547052,-0.6212362,1.3343882701376615e-21,1.0506994253052454e-20
4,ENSG00000108823,-9.550186,-5.6261606,1.294633937603233e-21,1.021407445840815e-20
4,ENSG00000165507,-9.554149,-2.7175026,1.2460371926868384e-21,9.850096384876193e-21
4,ENSG00000017797,-9.557841,-0.39248824,1.2023875203245181e-21,9.523861547124896e-21
4,ENSG00000139433,-9.566175,-0.72924066,1.1093374049073774e-21,8.80426511831252e-21
4,ENSG00000128656,-9.574363,-4.914623,1.0248773585575218e-21,8.150118159503155e-21
4,ENSG00000198900,-9.576175,-0.34990984,1.0070578798499008e-21,8.024365576493234e-21
4,ENSG00000165775,-9.59685,-0.52877486,8.24248547450154e-22,6.580826726148934e-21
4,ENSG00000172201,-9.605219,-0.85198635,7.599660994402004e-22,6.079728795521603e-21
4,ENSG00000144848,-9.626765,-0.42769414,6.163958145203927e-22,4.9410486133899215e-21
4,ENSG00000156411,-9.634288,-0.2509216,5.728773134355442e-22,4.60142420430156e-21
4,ENSG00000154556,-9.636688,-3.083878,5.596439994830749e-22,4.504177058213882e-21
4,ENSG00000133321,-9.652054,-1.8464532,4.818094602152513e-22,3.887613349944469e-21
4,ENSG00000115594,-9.653529,-2.2494633,4.749273932323507e-22,3.845565937104054e-21
4,ENSG00000010438,-9.662838,-1.3645461,4.336801904874466e-22,3.518703371094901e-21
4,ENSG00000140836,-9.667288,-3.350104,4.1523476881095685e-22,3.375892429357373e-21
4,ENSG00000146674,-9.690764,-2.2672772,3.3004932071615937e-22,2.6887928367915226e-21
4,ENSG00000110492,-9.704727,-1.0838952,2.878443667633902e-22,2.3497499327623693e-21
4,ENSG00000125826,-9.704954,-0.6347504,2.8720577601098044e-22,2.3493315011123144e-21
4,ENSG00000163431,-9.707738,-4.186353,2.7946953018694053e-22,2.290733853991316e-21
