ensembl_id_stripped	gene_symbol	source_map	present_in_hvg	present_in_raw	duplicated_symbol_in_raw	notes
ENSG00000111863	ADTRP	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000106624	AEBP1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000157510	AFAP1L1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000130396	AFDN	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000186094	AGBL4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000204310	AGPAT1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000160216	AGPAT3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000106541	AGR2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000173467	AGR3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000188157	AGRN	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000135744	AGT	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000144891	AGTR1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000185567	AHNAK2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000169877	AHSP	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000204472	AIF1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000126878	AIF1L	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000163568	AIM2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000196581	AJAP1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000154027	AK5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000131016	AKAP12	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000186471	AKAP14	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000179841	AKAP5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000198074	AKR1B10	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000227471	AKR1B15	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000187134	AKR1C1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000151632	AKR1C2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000196139	AKR1C3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000198610	AKR1C4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000117020	AKT3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000279440	AL008638.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000273044	AL022334.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259869	AL022344.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000234427	AL022724.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000227192	AL023581.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000283608	AL031056.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000227591	AL031316.1	10x_features / GTF	True	True	False	from raw.gene_symbol
